name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preference
Christine Andrews,F,811710819,2001-02-11,Sophomore,School of Environmental and Biological Sciences,0,0,['RA' 'CS' 'BS'],Apartment,1,1,1,6000-8000,8000,"[188606474, 703842491, 831989015]"
Jennifer Harris,F,933636717,2004-11-20,Junior,School of Communication and Information,0,0,['RA' 'SA' 'JS'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[681523499, 252340711, 159223818]"
Roberta Evans,F,844091519,2002-08-24,Freshman,School of Arts and Sciences,0,0,['RA' 'SA' 'BS'],Apartment,1,1,1,6000-8000,8000,"[239774699, 643296177, 877820372]"
Mr. Jonathan Garcia,M,605162015,2002-12-30,Junior,School of Communication and Information,0,0,['MS' 'NCA' 'SA'],Suite,1,1,1,4000-6000,6000,[]
Linda Gomez,F,114626876,2002-07-07,Freshman,School of Arts and Sciences,0,1,['MRS' 'JS' 'MZH'],Apartment,1,1,1,4000-6000,5000,[]
Aaron Valdez,M,181428385,2002-12-18,Freshman,Mason Gross School of the Arts,0,0,['BS' 'CS' 'JS'],Apartment,1,1,1,6000-8000,8000,"[521356413, 860816423, 444844278]"
Makayla Christensen,F,701250663,2003-11-11,Junior,School of Communication and Information,0,0,['TS' 'NCA' 'AH'],Suite,1,1,1,4000-6000,6000,[]
Robert Hansen,M,206780141,2002-04-19,Sophomore,School of Arts and Sciences,0,0,['BS' 'SA' 'TS'],Apartment,1,1,1,4000-6000,6000,"[751569352, 775909099, 335694763]"
Linda Anderson,F,786130620,2004-08-18,Junior,School of Arts and Sciences,0,1,['RA' 'NCA' 'SA'],Apartment,1,1,0,4000-6000,5000,[]
Jessica Mercado,F,145252295,2002-04-03,Junior,School of Management and Labor Relations,1,0,['BS' 'NCA' 'SA'],Apartment,1,1,1,6000-8000,8000,"[426333862, 116072483, 257789568]"
Randall Ross DDS,M,499345141,2002-12-06,Sophomore,Mason Gross School of the Arts,0,0,['MZH' 'JS' 'NCA'],Suite,1,1,1,4000-6000,6000,[]
Sabrina Griffith,F,464337405,2003-10-09,Sophomore,School of Social Work,0,0,['RA' 'CS' 'TS'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[885216093, 836127004, 737953104]"
Stanley Bowers,M,227244855,2001-05-04,Freshman,School of Management and Labor Relations,0,0,['NCA' 'MS' 'RA'],Suite,1,1,1,8000-11000,11000,"[562664188, 143676437, 902997729]"
Laura Jacobson,F,128614149,2004-04-12,Junior,School of Arts and Sciences,0,0,['BS' 'RA' 'MZH'],Suite,1,1,1,4000-6000,6000,[]
Scott Christensen,M,324380030,2003-07-06,Freshman,School of Arts and Sciences,0,1,['RA' 'NCA' 'SA'],Suite,1,1,1,4000-6000,5000,"[695629696, 552030420, 934972406]"
Jesse Evans,M,442552223,2001-04-19,Junior,School of Engineering,0,0,['NCA' 'TS' 'AH'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[743668309, 531907420, 625506040]"
Jennifer Smith,F,285116909,2000-11-25,Sophomore,School of Arts and Sciences,0,1,['NCA' 'CS' 'WS'],Apartment,1,1,1,8000-11000,10000,"[769063234, 174495635, 100406992]"
Ashley Lin,F,990514979,2000-05-28,Freshman,Mason Gross School of the Arts,0,0,['AH' 'MS' 'MRS'],Suite,1,1,1,4000-6000,6000,"[215373418, 652384098, 792248117]"
Diane Tate,F,692849419,2001-03-30,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['JS' 'NCA' 'RA'],Apartment,1,1,1,8000-11000,11000,"[440222672, 221788620, 549627789]"
Melissa Moore,F,379714298,2004-08-22,Freshman,School of Environmental and Biological Sciences,1,1,['SA' 'NCA' 'MZH'],Suite,1,1,1,6000-8000,7000,[]
Gary Coleman,M,313896375,2003-07-30,Junior,School of Arts and Sciences,0,1,['NCA' 'BS' 'SA'],Apartment,1,1,1,4000-6000,5000,"[831988612, 384387526, 906948858]"
George Ingram,M,255667076,2004-08-21,Sophomore,School of Environmental and Biological Sciences,0,1,['MH' 'BS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[309049010, 343783299, 212108585]"
Kevin Woods,M,883061044,2002-08-16,Sophomore,School of Engineering,0,0,['MZH' 'RA' 'BH'],Apartment,1,1,1,6000-8000,8000,[]
Jennifer Cook,F,795637475,2001-05-24,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'JS' 'CS'],Apartment,1,1,1,8000-11000,10000,[]
Ruth Cruz,F,498461813,2002-11-14,Freshman,School of Social Work,0,0,['MRS' 'MS' 'CS'],Suite,1,1,1,4000-6000,6000,"[546989781, 957346621, 256224242]"
Kristopher Lara,M,937772782,2003-12-21,Sophomore,School of Environmental and Biological Sciences,0,1,['MZH' 'WS' 'BS'],Apartment,1,1,1,8000-11000,10000,"[570678839, 832363176, 767565805]"
Tracy Rogers,F,445777439,2001-08-17,Senior,School of Arts and Sciences,0,1,['MRS' 'RA' 'NCA'],Suite,1,1,1,8000-11000,10000,"[778887683, 176518571, 398597284]"
Mark Garcia,M,723505481,2001-11-26,Sophomore,School of Communication and Information,0,0,['CS' 'WS' 'BS'],Suite,1,1,1,4000-6000,6000,"[232330069, 179526158, 878251010]"
Natasha English,F,146537243,2002-11-07,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'JS' 'SA'],Suite,1,1,1,4000-6000,6000,"[384249236, 886475410, 365349882]"
Alyssa Flores,F,544767008,2003-02-13,Freshman,School of Environmental and Biological Sciences,0,0,['MRS' 'BS' 'NCA'],Apartment,1,1,0,4000-6000,6000,"[574303360, 755076214, 493145812]"
Katherine Vasquez,F,277809521,2000-11-08,Sophomore,School of Arts and Sciences,0,0,['RA' 'BS' 'SA'],Apartment,1,1,1,4000-6000,6000,[]
Robert Smith,M,257741365,2004-05-31,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'RA' 'NCA'],Suite,1,1,1,4000-6000,6000,"[106476528, 140058934, 659448761]"
Willie Stewart,M,439530357,2005-08-10,Junior,School of Arts and Sciences,0,0,['MS' 'RA' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[981588761, 157110841, 854575583]"
Greg Morales,M,582593844,2003-03-05,Sophomore,School of Arts and Sciences,0,0,['AH' 'BS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[847610016, 412342987, 836135250]"
Debbie Morales,F,337049293,2001-02-21,Junior,School of Engineering,0,0,['AH' 'RA' 'NCA'],Suite,1,0,1,4000-6000,6000,"[744513404, 822614347, 362772031]"
Frederick Lopez,M,663967041,2000-05-28,Junior,Mason Gross School of the Arts,0,0,['JS' 'BS' 'MZH'],Suite,1,1,1,4000-6000,6000,[]
Robyn Zimmerman,F,715862704,2001-10-24,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'BH' 'MS'],Apartment,1,1,1,4000-6000,6000,"[306578362, 763974527, 630860213]"
Robin Marshall,F,667491500,2000-06-26,Freshman,School of Arts and Sciences,0,0,['SA' 'AH' 'BS'],Apartment,1,1,1,8000-11000,11000,"[794807484, 334481605, 966214120]"
Vanessa Krueger,F,750538730,2001-12-18,Junior,Mason Gross School of the Arts,0,1,['BS' 'NCA' 'SA'],Suite,1,1,1,8000-11000,10000,"[171783620, 444618495, 131084147]"
Emily Black,F,835044758,2003-12-20,Junior,School of Arts and Sciences,0,0,['CS' 'SA' 'RA'],Traditional Residence Hall,1,0,1,4000-6000,6000,"[213732306, 621222621, 790611669]"
Alexandra Wells,F,258550034,2000-04-28,Freshman,School of Arts and Sciences,1,0,['BS' 'AH' 'NCA'],Apartment,1,1,1,4000-6000,6000,[]
William Pierce,M,133714100,2000-05-20,Freshman,School of Arts and Sciences,0,0,['NCA' 'JS' 'BS'],Suite,1,1,1,4000-6000,6000,"[563620296, 612297669, 603163685]"
Jessica Peterson,F,536334489,2004-01-18,Freshman,School of Engineering,0,0,['BS' 'MRS' 'AH'],Apartment,1,1,1,6000-8000,8000,"[880557773, 208860907, 277171390]"
Tina Yoder,F,686582306,2002-04-15,Junior,Mason Gross School of the Arts,0,1,['MZH' 'BH' 'BS'],Suite,1,1,1,4000-6000,5000,"[341219262, 916952323, 672001289]"
Jennifer Velazquez,F,180689040,2005-06-22,Sophomore,School of Communication and Information,0,1,['AH' 'NCA' 'CS'],Apartment,1,1,1,6000-8000,7000,"[212307090, 405382462, 140590879]"
George Rowe,M,368526638,2000-07-05,Sophomore,School of Environmental and Biological Sciences,0,0,['SA' 'BS' 'MRS'],Suite,1,1,1,8000-11000,11000,"[535750145, 850970626, 309049010]"
Joel Powers,M,365152098,2002-07-31,Senior,School of Environmental and Biological Sciences,0,0,['BH' 'BS' 'SA'],Traditional Residence Hall,1,1,1,6000-8000,8000,[]
Thomas Randall,M,648793861,2004-11-17,Freshman,School of Communication and Information,0,0,['NCA' 'MH' 'RA'],Suite,1,1,1,6000-8000,8000,[]
Alexander Frazier,M,666930005,2002-02-09,Freshman,School of Arts and Sciences,0,1,['RA' 'SA' 'JS'],Apartment,1,0,1,8000-11000,10000,[]
Tiffany Rodriguez,F,322646455,2002-08-29,Freshman,School of Arts and Sciences,0,1,['NCA' 'MS' 'BS'],Apartment,1,0,1,4000-6000,5000,[]
Valerie Knight,F,108148707,2000-05-12,Junior,School of Arts and Sciences,0,0,['BS' 'RA' 'MS'],Apartment,1,1,1,6000-8000,8000,[]
Dustin Torres,M,617666643,2000-05-30,Sophomore,School of Communication and Information,0,1,['BS' 'AH' 'MS'],Suite,1,1,1,8000-11000,10000,[]
Mr. Marcus Foley,M,211485515,2001-01-19,Junior,School of Communication and Information,0,0,['SA' 'WS' 'BH'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[878218727, 687718857, 511251872]"
Kelly Ramirez,F,516385717,2002-04-28,Senior,School of Engineering,0,0,['NCA' 'BS' 'SA'],Suite,1,1,1,8000-11000,11000,"[358511869, 111631491, 503432909]"
Kayla Miller,F,788698100,2003-01-10,Freshman,School of Arts and Sciences,0,1,['WS' 'AH' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[278750228, 619035280, 904498391]"
Aimee Franklin,F,991948036,2002-01-09,Sophomore,Mason Gross School of the Arts,0,0,['MRS' 'BS' 'JS'],Apartment,1,1,1,8000-11000,11000,"[389360423, 837978003, 928694503]"
Casey Carr,M,940911968,2002-05-07,Freshman,School of Environmental and Biological Sciences,0,1,['MRS' 'BS' 'SA'],Suite,1,1,1,8000-11000,10000,"[913534284, 417800862, 571793662]"
Joshua Owens,M,420381799,2001-03-20,Freshman,School of Arts and Sciences,0,0,['BS' 'RA' 'MH'],Suite,1,1,0,8000-11000,11000,[]
Collin Bass,M,346667746,2004-05-21,Freshman,Mason Gross School of the Arts,0,0,['SA' 'NCA' 'BS'],Traditional Residence Hall,1,0,1,6000-8000,8000,"[573932372, 631593084, 677428177]"
Jonathan Curry,M,563808565,2002-10-08,Senior,School of Arts and Sciences,0,0,['BS' 'MRS' 'MZH'],Apartment,1,1,1,4000-6000,6000,"[514704631, 900561866, 445777439]"
Shane Jackson,M,147328236,2003-11-16,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['BS' 'MS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[312133701, 102913141, 274006924]"
Amanda Bowen,F,693692361,2004-11-07,Freshman,School of Communication and Information,0,0,['CS' 'MZH' 'NCA'],Suite,1,1,1,4000-6000,6000,"[882573227, 227191194, 861983564]"
Antonio Vazquez,M,343987070,2000-08-12,Junior,School of Environmental and Biological Sciences,0,0,['SA' 'MS' 'AH'],Apartment,1,0,1,6000-8000,8000,"[949817782, 419621862, 220585379]"
Anthony Patterson,M,462434631,2001-05-20,Junior,School of Environmental and Biological Sciences,0,0,['MS' 'MH' 'AH'],Apartment,1,1,1,4000-6000,6000,"[446546390, 954860662, 217056856]"
Jessica Wright,F,974029485,2003-09-14,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'JS' 'MS'],Suite,1,1,1,4000-6000,6000,"[312109282, 151912715, 208579373]"
Elizabeth Harris,F,118631054,2002-11-08,Freshman,School of Arts and Sciences,0,0,['BS' 'AH' 'MH'],Suite,1,1,1,4000-6000,6000,"[296656693, 647888216, 472820572]"
Gabriela Harris,F,529503175,2002-03-15,Freshman,Mason Gross School of the Arts,0,1,['MRS' 'RA' 'MS'],Apartment,1,1,1,4000-6000,5000,"[278699728, 847655871, 776689279]"
Courtney Klein,F,607810949,2005-09-03,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'MH'],Suite,1,1,1,4000-6000,6000,"[442857262, 869710616, 593185463]"
Michael Schroeder,M,891592694,2002-03-13,Sophomore,Mason Gross School of the Arts,0,0,['AH' 'BS' 'BH'],Apartment,1,1,1,8000-11000,11000,"[110857490, 847978475, 108354050]"
Kristen Adams,F,167980420,2003-05-16,Sophomore,School of Arts and Sciences,0,0,['TS' 'MH' 'BS'],Suite,1,1,1,6000-8000,8000,"[222353507, 797056561, 959520486]"
Elizabeth Short,F,376552058,2000-08-04,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MRS' 'WS' 'AH'],Apartment,1,1,1,4000-6000,6000,"[128067422, 998192525, 616444771]"
Abigail Hinton,F,627496119,2000-04-26,Freshman,Mason Gross School of the Arts,0,1,['JS' 'BS' 'RA'],Apartment,1,1,1,4000-6000,5000,"[323805004, 122992224, 713064474]"
Leah Cole,F,380896510,2003-04-29,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['MZH' 'BS' 'TS'],Apartment,1,1,1,6000-8000,7000,"[198406466, 818153296, 430733815]"
Claudia Brown,F,760370256,2000-01-12,Freshman,Mason Gross School of the Arts,0,0,['BS' 'SA' 'MRS'],Suite,1,1,1,4000-6000,6000,"[210724678, 552835165, 402498228]"
Charles Mack,M,262824433,2003-11-21,Junior,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'NCA' 'SA'],Apartment,1,0,1,4000-6000,5000,[]
Teresa Vaughn,F,125999635,2002-03-07,Junior,School of Engineering,0,0,['BS' 'BH' 'CS'],Suite,1,1,1,4000-6000,6000,"[717062233, 842626006, 776324094]"
Brian Douglas MD,M,982901440,2005-05-20,Freshman,School of Communication and Information,0,0,['NCA' 'MH' 'CS'],Apartment,1,1,1,8000-11000,11000,"[686288192, 692986389, 832363176]"
Timothy Miller,M,218358893,2002-10-20,Freshman,School of Social Work,0,0,['JS' 'BS' 'RA'],Apartment,1,1,1,4000-6000,6000,"[187435903, 103421240, 759630546]"
Patricia Gonzalez,F,404539580,2001-06-12,Sophomore,School of Communication and Information,0,1,['MH' 'SA' 'BS'],Apartment,1,1,1,4000-6000,5000,"[317487491, 918725809, 147824195]"
Gregory Garcia,M,407550670,2001-03-04,Freshman,School of Environmental and Biological Sciences,0,1,['RA' 'MRS' 'JS'],Suite,1,1,0,4000-6000,5000,"[867046415, 645941942, 171259976]"
Paul Lawrence,M,765180741,2004-11-04,Sophomore,School of Arts and Sciences,0,1,['TS' 'MS' 'BS'],Suite,1,1,1,8000-11000,10000,"[706804427, 955755987, 895067510]"
Richard Cruz,M,442706942,2003-11-26,Freshman,School of Arts and Sciences,0,0,['RA' 'CS' 'WS'],Suite,1,1,1,6000-8000,8000,"[133658573, 460481432, 231843024]"
Cameron Lopez,M,232330069,2000-06-06,Freshman,School of Arts and Sciences,0,1,['RA' 'WS' 'SA'],Apartment,1,1,1,8000-11000,10000,"[139265750, 228555461, 793958617]"
Andrew Barker,M,356431276,2000-04-20,Freshman,School of Environmental and Biological Sciences,0,0,['MZH' 'RA' 'BS'],Suite,1,1,1,8000-11000,11000,[]
Robert Butler,M,640594786,2001-11-08,Junior,School of Arts and Sciences,0,0,['BS' 'JS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,6000,[]
Amy Figueroa,F,609963513,2000-02-12,Sophomore,School of Engineering,0,0,['BS' 'SA' 'NCA'],Apartment,1,1,1,6000-8000,8000,[]
Diana Waters,F,524363172,2000-12-28,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'JS' 'CS'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[890480194, 154899592, 355761150]"
Seth Bullock,M,650406826,2005-08-14,Freshman,School of Social Work,0,0,['JS' 'BS' 'NCA'],Apartment,1,1,1,4000-6000,6000,"[936597759, 143092215, 535331167]"
Mary Hernandez,F,757330123,2000-03-15,Senior,School of Communication and Information,0,0,['BS' 'MZH' 'AH'],Suite,1,0,1,4000-6000,6000,"[836135250, 797341450, 450831624]"
Sylvia Wilson,F,430060238,2002-10-29,Sophomore,School of Arts and Sciences,0,0,['NCA' 'RA' 'MS'],Suite,1,1,0,8000-11000,11000,[]
Steve Mcguire,M,395062727,2001-04-28,Sophomore,School of Social Work,0,0,['RA' 'MH' 'TS'],Apartment,1,1,1,4000-6000,6000,[]
Zachary Davis,M,946682357,2003-10-30,Freshman,School of Management and Labor Relations,0,0,['MRS' 'BH' 'WS'],Suite,1,1,1,4000-6000,6000,"[488822164, 783704102, 130916885]"
Jose Scott,M,974335745,2002-05-18,Sophomore,School of Engineering,0,1,['BS' 'AH' 'TS'],Suite,1,1,1,6000-8000,7000,"[793247938, 293355513, 179526158]"
Kiara Miller,F,564398975,2005-04-18,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['JS' 'MZH' 'AH'],Suite,1,1,1,8000-11000,11000,"[722850343, 980191574, 156398293]"
Ryan Fields,M,919656019,2005-05-10,Sophomore,School of Arts and Sciences,0,0,['RA' 'SA' 'CS'],Apartment,1,1,1,4000-6000,6000,"[282693305, 842626006, 324443493]"
Mrs. Brenda Soto,F,325573646,2002-02-12,Sophomore,School of Engineering,0,1,['SA' 'RA' 'NCA'],Suite,1,1,1,8000-11000,10000,"[999383002, 405135602, 626748248]"
Debbie Schmidt,F,776324094,2003-01-21,Sophomore,School of Arts and Sciences,0,0,['JS' 'BS' 'TS'],Suite,1,0,0,6000-8000,8000,"[825278180, 805947846, 918950017]"
Antonio Patrick,M,196657787,2000-01-12,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'BS' 'RA'],Suite,1,1,1,4000-6000,6000,[]
Erica Jones,F,295045695,2004-06-20,Sophomore,School of Arts and Sciences,0,1,['MZH' 'BS' 'AH'],Apartment,1,1,1,8000-11000,10000,"[144684899, 429049517, 546897735]"
John Higgins,M,648894073,2002-03-02,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['TS' 'MZH' 'MRS'],Suite,1,1,1,6000-8000,8000,"[320023959, 974335745, 300184127]"
Adam Hawkins,M,929012452,2003-11-01,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['CS' 'AH' 'BS'],Apartment,1,1,1,4000-6000,6000,[]
Matthew Adams,M,701877001,1999-10-03,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'BS' 'WS'],Suite,1,1,1,6000-8000,8000,"[588141906, 347808558, 723347388]"
Ronald Foster,M,827210779,2003-04-03,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['SA' 'BH' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,10000,[]
Whitney Zimmerman,F,955329170,2002-07-05,Freshman,School of Management and Labor Relations,0,0,['JS' 'SA' 'RA'],Apartment,1,1,1,4000-6000,6000,[]
James Ortiz,M,756934741,2002-01-15,Senior,School of Arts and Sciences,0,0,['MH' 'BS' 'JS'],Apartment,1,1,1,6000-8000,8000,[]
Angela Wright,F,856486263,2003-10-04,Sophomore,Mason Gross School of the Arts,0,0,['WS' 'BS' 'TS'],Apartment,1,1,1,4000-6000,6000,[]
Joel Lozano,M,133658573,2004-12-01,Freshman,School of Arts and Sciences,0,0,['AH' 'BS' 'NCA'],Suite,1,1,1,4000-6000,6000,"[877753441, 491374387, 362453927]"
Phyllis Mora,F,835731591,2003-03-02,Freshman,School of Arts and Sciences,0,1,['MZH' 'WS' 'BS'],Suite,1,0,1,6000-8000,7000,"[669602710, 146355604, 160021373]"
Lisa Fisher,F,564986389,2001-02-09,Freshman,School of Communication and Information,0,1,['MS' 'MRS' 'NCA'],Apartment,1,1,1,6000-8000,7000,"[311694523, 144684899, 175828645]"
George Bernard,M,671979139,2001-10-22,Freshman,School of Arts and Sciences,0,1,['BS' 'MH' 'MS'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[927260108, 807172029, 138990477]"
Lucas Simmons,M,694209929,2003-12-08,Sophomore,School of Engineering,0,1,['RA' 'BS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[442498693, 576897626, 943281802]"
Shannon Smith,F,824834532,2000-01-07,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'CS' 'SA'],Apartment,1,1,1,4000-6000,6000,[]
James Cobb,M,108903891,2005-02-10,Senior,School of Arts and Sciences,0,1,['BS' 'NCA' 'SA'],Suite,1,1,1,4000-6000,5000,[]
Janice Gonzalez,F,667680018,2004-07-14,Sophomore,School of Engineering,0,1,['BS' 'NCA' 'MZH'],Apartment,1,1,0,6000-8000,7000,"[806391957, 792355756, 400022250]"
Jennifer Butler,F,147602555,2003-03-09,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['MRS' 'SA' 'TS'],Traditional Residence Hall,1,0,1,6000-8000,8000,"[197759670, 172941925, 442168646]"
Lisa Logan,F,143548862,2004-06-26,Junior,School of Arts and Sciences,0,1,['TS' 'WS' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[661370376, 805228330, 765180741]"
Miranda Herrera,F,683629351,2005-02-01,Sophomore,School of Environmental and Biological Sciences,0,0,['NCA' 'BS' 'JS'],Apartment,1,1,1,8000-11000,11000,"[191857134, 141249881, 710132849]"
Cindy Ross,F,159327721,2005-05-30,Junior,Mason Gross School of the Arts,0,0,['RA' 'SA' 'WS'],Suite,1,1,1,8000-11000,11000,"[841176792, 883450257, 731807356]"
Michelle Welch,F,453067873,2003-02-23,Freshman,School of Communication and Information,0,0,['WS' 'BS' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[966840618, 661437272, 545806181]"
Hannah Barrett,F,471637261,2005-04-01,Junior,School of Arts and Sciences,0,1,['MZH' 'MS' 'SA'],Apartment,1,0,1,8000-11000,10000,"[974114436, 289237444, 359181110]"
Jennifer Ramos,F,358449996,2002-07-22,Freshman,School of Engineering,0,1,['NCA' 'SA' 'MH'],Apartment,1,1,1,6000-8000,7000,"[966258313, 248544140, 817325093]"
Jennifer Reid,F,125882483,2002-07-12,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'WS'],Suite,1,1,1,4000-6000,5000,[]
Gregory Ruiz,M,836808494,2002-05-15,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['RA' 'SA' 'NCA'],Suite,1,1,1,6000-8000,7000,"[418931258, 577542638, 468889341]"
Terri Elliott,F,194589662,2003-02-27,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'BS' 'MRS'],Apartment,1,0,1,8000-11000,11000,"[113571245, 699627983, 144235524]"
Andrea Lloyd,F,645509634,2003-12-26,Senior,School of Communication and Information,0,1,['NCA' 'RA' 'BS'],Suite,1,1,1,4000-6000,5000,"[318975209, 359997801, 189184502]"
Matthew Frost,M,295687510,2000-08-20,Sophomore,School of Arts and Sciences,0,1,['SA' 'WS' 'RA'],Suite,1,1,1,4000-6000,5000,"[500945105, 358316794, 593173478]"
Sandy Medina,F,132789313,2002-09-29,Freshman,School of Arts and Sciences,0,0,['AH' 'MH' 'BS'],Suite,1,0,1,4000-6000,6000,"[185090592, 333812567, 472835249]"
Veronica Watkins,F,389960049,2002-01-20,Junior,School of Communication and Information,0,0,['TS' 'BS' 'BH'],Suite,1,1,1,4000-6000,6000,"[379782953, 986388363, 358564840]"
Brittany Sanchez,F,217160848,2001-10-30,Senior,School of Arts and Sciences,0,1,['RA' 'WS' 'MH'],Apartment,1,1,1,4000-6000,5000,"[499345141, 325750669, 290624638]"
Raymond Jackson,M,324050792,2005-07-26,Sophomore,School of Engineering,0,0,['BS' 'SA' 'BH'],Apartment,1,0,1,4000-6000,6000,"[619432836, 793631246, 408242715]"
Rachel Fields,F,230756692,2000-03-09,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['NCA' 'JS' 'BS'],Apartment,1,1,1,8000-11000,10000,"[242508104, 635836065, 761091034]"
Susan Rodriguez,F,596604110,2004-10-18,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'NCA' 'SA'],Suite,1,1,1,8000-11000,11000,"[104370144, 554959452, 484243646]"
Rachel Brooks,F,537142312,2001-07-07,Freshman,School of Arts and Sciences,0,0,['BS' 'MS' 'JS'],Traditional Residence Hall,1,1,1,4000-6000,6000,[]
Ronald Griffin,M,254580627,2002-09-27,Freshman,School of Engineering,0,0,['SA' 'BS' 'RA'],Suite,1,1,1,4000-6000,6000,"[444987282, 788083909, 208285580]"
Matthew Gregory,M,229491837,2003-05-07,Junior,School of Arts and Sciences,0,1,['CS' 'NCA' 'AH'],Suite,1,1,1,8000-11000,10000,"[885838399, 663617936, 561378475]"
Kelly Soto,F,105359968,2005-01-15,Sophomore,School of Management and Labor Relations,0,1,['NCA' 'BS' 'MH'],Traditional Residence Hall,1,0,1,6000-8000,7000,"[272436079, 806828401, 371293738]"
Patrick Griffin,M,817218964,2000-09-07,Sophomore,School of Arts and Sciences,0,1,['CS' 'SA' 'NCA'],Suite,1,1,1,4000-6000,5000,[]
Theresa Lloyd,F,938229059,2003-04-18,Senior,Mason Gross School of the Arts,0,0,['BS' 'MZH' 'MS'],Apartment,1,1,1,4000-6000,6000,"[140480950, 269737393, 118008349]"
Melissa Vang,F,464605662,2003-07-23,Sophomore,School of Arts and Sciences,0,0,['NCA' 'SA' 'BS'],Suite,1,1,1,4000-6000,6000,[]
Logan Knight,M,554051656,2005-03-05,Senior,School of Communication and Information,0,0,['MRS' 'BS' 'MS'],Suite,1,1,0,4000-6000,6000,[]
Joel Anderson,M,790611669,2003-07-20,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BH' 'SA' 'RA'],Suite,1,1,1,4000-6000,5000,[]
Charles Parker,M,838111458,2003-08-13,Sophomore,School of Arts and Sciences,0,0,['JS' 'MS' 'NCA'],Suite,1,1,1,4000-6000,6000,"[682933973, 997185273, 908022974]"
Gina Beltran,F,164050333,2002-11-28,Sophomore,School of Arts and Sciences,0,0,['RA' 'BH' 'MH'],Apartment,1,1,1,8000-11000,11000,[]
Lance Mcneil,M,647906158,2003-06-03,Junior,School of Management and Labor Relations,0,1,['NCA' 'BS' 'TS'],Apartment,1,1,1,4000-6000,5000,"[248544140, 198182634, 852554073]"
Maria Brown,F,704601324,2000-05-08,Sophomore,School of Arts and Sciences,0,1,['JS' 'NCA' 'MS'],Apartment,1,1,1,8000-11000,10000,"[702817214, 309049010, 684215526]"
Peter Williams,M,634439083,2003-11-18,Senior,School of Communication and Information,0,0,['BS' 'NCA' 'MS'],Traditional Residence Hall,1,1,1,8000-11000,11000,[]
Chelsea Larson,F,424322042,2003-07-19,Freshman,School of Arts and Sciences,1,0,['CS' 'NCA' 'BS'],Apartment,1,1,1,4000-6000,6000,[]
Derrick Wong,M,109070891,2003-08-25,Freshman,School of Arts and Sciences,0,0,['SA' 'CS' 'MH'],Suite,1,1,1,8000-11000,11000,"[365349882, 189753001, 882042626]"
Laura Williams,F,599942436,2001-10-08,Sophomore,School of Arts and Sciences,0,0,['SA' 'BS' 'RA'],Suite,1,1,1,6000-8000,8000,[]
