name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences
Valerie Price,F,841768838,2004-07-12,Freshman,School of Engineering,0,1,['MH' 'TS' 'BH'],Suite,1,0,1,8000-11000,12000,[538886782]
Erica Cooper,F,121668135,1999-12-18,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'NCA' 'CS'],Apartment,1,1,1,8000-11000,12000,[930133022]
Bradley Byrd,M,512100232,2003-06-07,Senior,School of Arts and Sciences,0,1,['RA' 'NCA' 'TS'],Suite,1,1,1,6000-8000,9000,"[645130642, 978755356]"
Rachel Davis,F,390778711,2003-09-19,Senior,School of Arts and Sciences,0,1,['MS' 'BH' 'NCA'],Apartment,1,1,1,6000-8000,9000,"[932739998, 106250152]"
Robert Carpenter,M,193110957,2004-08-02,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'MS' 'SA'],Apartment,1,1,1,8000-11000,12000,"[943004878, 277691077]"
Jennifer Pena,F,214842972,2005-01-30,Freshman,School of Environmental and Biological Sciences,0,0,['MZH' 'MH' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,9000,[685968514]
Kathleen Wolf,F,662384270,2002-10-04,Sophomore,School of Arts and Sciences,0,0,['SA' 'MS' 'BS'],Apartment,1,0,1,6000-8000,9000,"[764129522, 745206460]"
Diana Williams,F,271598333,2000-08-31,Sophomore,School of Arts and Sciences,0,0,['RA' 'BS' 'SA'],Suite,1,1,1,4000-6000,7000,[356095944]
Tiffany Campos,F,608499142,2005-01-24,Sophomore,School of Environmental and Biological Sciences,0,0,['BS' 'SA' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[395960616, 604415522]"
Jesse Mcconnell,M,162908927,2000-12-12,Junior,School of Management and Labor Relations,0,0,['BS' 'WS' 'SA'],Apartment,1,1,1,6000-8000,9000,[514151836]
Benjamin Underwood,M,590157437,2004-07-14,Sophomore,School of Arts and Sciences,0,1,['TS' 'AH' 'NCA'],Suite,1,1,1,8000-11000,12000,"[866836711, 590948268]"
Katrina Gilbert,F,397910921,2000-12-13,Freshman,School of Arts and Sciences,0,0,['BS' 'MS' 'MZH'],Apartment,1,1,1,8000-11000,12000,[617460765]
Maria Garcia,F,193419803,2002-08-14,Junior,School of Communication and Information,0,0,['SA' 'BS' 'RA'],Suite,1,1,1,4000-6000,7000,[267309651]
Maureen Jones,F,910773884,1999-11-26,Senior,School of Arts and Sciences,0,1,['SA' 'MZH' 'BS'],Apartment,1,1,1,8000-11000,12000,"[203440909, 985894232]"
Arthur Morris,M,456856068,1999-10-17,Sophomore,Mason Gross School of the Arts,1,0,['RA' 'MS' 'MH'],Suite,1,1,1,6000-8000,9000,"[392274484, 346981704]"
Monica Smith,F,651952110,2004-10-06,Junior,School of Arts and Sciences,0,1,['CS' 'NCA' 'MS'],Suite,1,1,1,8000-11000,12000,"[108224538, 756813461]"
Aaron Meyer,M,268148356,2005-07-28,Senior,School of Arts and Sciences,0,0,['SA' 'WS' 'BS'],Suite,1,1,1,8000-11000,12000,[906230900]
Matthew Byrd,M,688134247,1999-10-10,Junior,School of Management and Labor Relations,0,0,['BS' 'AH' 'BH'],Suite,1,0,1,4000-6000,7000,"[777850980, 897130133]"
Kaylee White,F,969279274,2002-03-26,Sophomore,School of Environmental and Biological Sciences,0,1,['BS' 'NCA' 'MS'],Suite,1,0,1,8000-11000,12000,"[600802935, 194834708]"
Samuel Graves,M,965854684,2003-03-14,Sophomore,School of Engineering,0,0,['AH' 'BS' 'CS'],Apartment,1,1,1,6000-8000,9000,"[639190389, 241389790]"
Ryan Powell,M,326792340,2001-04-06,Senior,School of Arts and Sciences,0,0,['NCA' 'MRS' 'AH'],Apartment,1,1,1,6000-8000,9000,"[940359141, 285687551]"
Dr. Amanda Woods,F,685465022,2002-07-23,Junior,School of Arts and Sciences,0,0,['JS' 'BS' 'BH'],Apartment,1,1,1,6000-8000,9000,[343319461]
Ronnie Dalton,M,596285679,2001-12-15,Freshman,School of Communication and Information,0,1,['SA' 'BS' 'CS'],Suite,1,1,1,4000-6000,7000,"[489914871, 607861853]"
Kristina Martin,F,958749958,2002-08-31,Freshman,School of Arts and Sciences,0,0,['SA' 'MRS' 'MZH'],Suite,1,1,1,8000-11000,12000,"[115784054, 867142946]"
Christopher Arellano,M,939863949,2005-04-04,Freshman,School of Communication and Information,0,0,['NCA' 'RA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[293098681]
Sarah Thornton,F,749074206,2005-06-09,Sophomore,School of Arts and Sciences,0,0,['MRS' 'MS' 'MZH'],Suite,1,1,1,8000-11000,12000,[882613041]
James Washington,M,952763157,2005-07-17,Sophomore,School of Engineering,0,1,['MZH' 'MS' 'MRS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[573344789, 768587812]"
Thomas Hobbs PhD,M,202475239,2001-11-12,Sophomore,School of Arts and Sciences,0,0,['BH' 'NCA' 'SA'],Traditional Residence Hall,1,0,1,8000-11000,12000,"[748605339, 334044865]"
Amanda Wolf,F,582775664,2002-03-09,Freshman,Mason Gross School of the Arts,0,0,['BS' 'MRS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[693680302, 677850145]"
Elizabeth Smith,F,267412471,2005-09-23,Senior,School of Engineering,0,0,['BS' 'BH' 'JS'],Suite,1,1,1,4000-6000,7000,[682118152]
Mary Phillips,F,651180929,2003-10-21,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['AH' 'BS' 'MZH'],Suite,1,1,1,4000-6000,7000,"[712589349, 900292504]"
Taylor Espinoza,F,565317864,2005-03-23,Junior,School of Arts and Sciences,0,0,['BS' 'CS' 'SA'],Suite,1,1,1,8000-11000,12000,"[757037942, 441233380]"
Nancy Martin,F,240988576,2000-07-06,Junior,School of Arts and Sciences,0,0,['MRS' 'MS' 'BH'],Suite,1,1,1,8000-11000,12000,"[730178764, 683892299]"
Ashley Logan,F,634436162,2004-06-27,Freshman,Mason Gross School of the Arts,0,0,['SA' 'BS' 'NCA'],Suite,1,1,1,8000-11000,12000,[632680008]
John Hughes,M,897183618,2000-03-02,Freshman,School of Engineering,0,1,['CS' 'NCA' 'RA'],Suite,1,1,1,8000-11000,12000,"[422935203, 176192101]"
Stephanie Steele,F,801104474,2003-04-12,Sophomore,School of Arts and Sciences,0,0,['TS' 'SA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[736182000, 247923338]"
Jessica Allen,F,909473323,2005-02-19,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'MZH'],Apartment,1,1,1,8000-11000,12000,"[110983230, 741831288]"
Jeanne Martinez,F,470610211,2000-11-21,Freshman,School of Engineering,0,1,['RA' 'MH' 'SA'],Apartment,1,1,1,4000-6000,7000,[950333987]
Shawn Wagner,M,348601428,2001-09-07,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'BS' 'SA'],Apartment,1,1,1,4000-6000,7000,"[381047897, 823831659]"
Bryan Malone,M,445473695,2001-11-09,Senior,School of Arts and Sciences,0,0,['MH' 'CS' 'AH'],Apartment,1,1,1,8000-11000,12000,[832329315]
Michael Adams,M,125302510,2005-07-17,Freshman,School of Environmental and Biological Sciences,0,0,['MZH' 'BS' 'WS'],Apartment,1,1,1,8000-11000,12000,[978720156]
Carlos Fuller,M,291966076,2003-03-15,Sophomore,School of Environmental and Biological Sciences,0,1,['SA' 'NCA' 'TS'],Apartment,1,0,1,6000-8000,9000,"[811018351, 353314522]"
Daniel Howe,M,942551411,2004-11-02,Junior,School of Management and Labor Relations,0,0,['BS' 'NCA' 'MZH'],Suite,1,1,1,8000-11000,12000,"[479690885, 322060192]"
Marcus Wells,M,947821690,2001-07-12,Sophomore,School of Environmental and Biological Sciences,0,0,['BS' 'MS' 'NCA'],Suite,1,0,1,8000-11000,12000,"[969643314, 711586449]"
Linda King,F,191371408,2002-06-13,Sophomore,School of Arts and Sciences,0,0,['AH' 'TS' 'NCA'],Apartment,1,1,1,4000-6000,7000,"[207341201, 701872997]"
Mrs. Mariah Mitchell PhD,F,850172024,2001-06-15,Freshman,Mason Gross School of the Arts,0,0,['TS' 'RA' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[463907427, 154608278]"
Shane Palmer,M,574007214,2005-07-24,Senior,School of Arts and Sciences,0,0,['BS' 'NCA' 'BH'],Apartment,1,0,1,8000-11000,12000,"[424999307, 352911477]"
Denise Schwartz,F,256690437,2004-03-05,Junior,School of Arts and Sciences,0,0,['BS' 'MRS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[544805718, 916310788]"
Benjamin Brooks,M,113395870,2000-06-05,Freshman,School of Arts and Sciences,0,0,['SA' 'CS' 'MZH'],Suite,1,1,1,8000-11000,12000,[835445859]
Melissa Cummings,F,201250705,2002-09-19,Freshman,Mason Gross School of the Arts,0,0,['WS' 'BS' 'AH'],Apartment,1,1,1,6000-8000,9000,[806211417]
Walter Garcia,M,275564395,2002-12-01,Sophomore,School of Engineering,0,0,['WS' 'RA' 'MH'],Suite,1,1,1,6000-8000,9000,"[637158392, 111266509]"
Andre Davis,M,112995005,2000-09-10,Sophomore,School of Engineering,0,0,['JS' 'SA' 'MRS'],Apartment,1,1,1,4000-6000,7000,[800360967]
Gary Shaw,M,786269567,2005-03-20,Junior,School of Arts and Sciences,0,0,['CS' 'TS' 'BS'],Suite,1,1,1,8000-11000,12000,[140123619]
Marc Arnold,M,648910573,2002-11-28,Junior,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'RA' 'WS'],Apartment,1,1,1,8000-11000,12000,"[668886258, 240526302]"
Bobby Smith,M,970808700,2002-02-20,Freshman,Mason Gross School of the Arts,0,0,['JS' 'NCA' 'SA'],Apartment,1,1,1,8000-11000,12000,"[997616592, 709305722]"
Daniel Lambert,M,556385311,2002-01-03,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'BH' 'RA'],Suite,1,1,1,8000-11000,12000,"[485992237, 102809685]"
Joe Allen,M,610314804,2002-03-28,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'MZH' 'MH'],Apartment,1,1,1,8000-11000,12000,"[215188902, 743729721]"
Jason Bradley,M,841782707,2000-07-23,Freshman,School of Communication and Information,0,0,['TS' 'JS' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,7000,[378607558]
Joshua Jordan,M,452383506,2004-12-06,Junior,School of Communication and Information,0,0,['NCA' 'SA' 'BS'],Apartment,1,1,1,8000-11000,12000,"[654989049, 544864621]"
Kellie Banks,F,103406765,2000-11-26,Freshman,School of Arts and Sciences,0,0,['MZH' 'BS' 'JS'],Suite,1,1,1,8000-11000,12000,[760259964]
Angel Bush,M,318434841,2005-08-11,Junior,Mason Gross School of the Arts,0,0,['MZH' 'BS' 'WS'],Suite,1,1,1,4000-6000,7000,"[231752634, 762605892]"
Justin Heath,M,757037942,2004-01-30,Senior,School of Management and Labor Relations,0,0,['MH' 'TS' 'NCA'],Suite,1,1,1,6000-8000,9000,"[565317864, 441233380]"
Anthony Durham,M,623018099,2001-04-22,Junior,School of Arts and Sciences,0,0,['RA' 'BS' 'MS'],Suite,1,1,1,4000-6000,7000,"[617225929, 444583879]"
Kiara Hughes,F,439020608,2005-07-28,Junior,School of Arts and Sciences,1,0,['AH' 'BS' 'NCA'],Apartment,1,1,1,8000-11000,12000,[235549498]
Jeremy Price,M,834329815,2000-05-26,Freshman,Mason Gross School of the Arts,0,1,['BS' 'MH' 'JS'],Suite,1,1,1,6000-8000,9000,"[688883822, 299056170]"
Megan White,F,713087317,2003-07-17,Junior,School of Engineering,0,1,['MS' 'MH' 'BS'],Apartment,1,1,0,8000-11000,12000,"[470787842, 569231237]"
Christine Obrien,F,889575773,2002-03-16,Freshman,School of Arts and Sciences,0,0,['MZH' 'BS' 'MS'],Apartment,1,1,1,8000-11000,12000,"[876326882, 317850596]"
Dan Perez,M,763949000,2004-04-27,Freshman,School of Arts and Sciences,0,1,['NCA' 'MRS' 'MH'],Suite,1,1,0,8000-11000,12000,"[213832045, 970188471]"
Brandon Mclean,M,382996966,2000-11-05,Senior,Mason Gross School of the Arts,0,0,['BS' 'RA' 'BH'],Apartment,1,1,1,4000-6000,7000,[122366343]
Kayla Kaiser,F,350954649,2004-07-02,Freshman,School of Arts and Sciences,0,0,['SA' 'TS' 'BS'],Suite,1,0,0,8000-11000,12000,"[502796189, 369844862]"
Anthony Taylor,M,500361086,2002-05-09,Sophomore,Mason Gross School of the Arts,0,0,['MRS' 'NCA' 'AH'],Apartment,1,1,1,4000-6000,7000,"[232230593, 863354639]"
Alicia Curry,F,207813705,1999-12-04,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'MZH' 'MRS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[224150192]
Elizabeth Williamson,F,948227550,2002-11-03,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MZH' 'BS' 'MS'],Apartment,1,0,1,6000-8000,9000,"[791495904, 260159561]"
Amanda Carter,F,798878379,2004-06-26,Freshman,School of Arts and Sciences,0,0,['SA' 'BS' 'AH'],Suite,1,1,1,4000-6000,7000,"[451730634, 211112791]"
Jared Ramos,M,823680486,2005-03-02,Freshman,School of Communication and Information,0,1,['JS' 'SA' 'MS'],Apartment,1,1,1,6000-8000,9000,"[425357048, 946572139]"
David Martin,M,455428309,2001-04-01,Junior,School of Arts and Sciences,0,1,['BH' 'NCA' 'BS'],Suite,1,1,1,8000-11000,12000,"[862540193, 654993279]"
Anthony Morris,M,919436878,2001-12-13,Freshman,School of Arts and Sciences,0,1,['BS' 'TS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000,[456036278]
Daniel Alvarez,M,545611698,2002-04-11,Sophomore,Rutgers Business School–Newark and New Brunswick,1,0,['CS' 'MH' 'MS'],Apartment,1,1,1,6000-8000,9000,"[744357261, 511630942]"
Collin Ramirez,M,455064823,1999-10-01,Freshman,School of Management and Labor Relations,0,1,['BS' 'RA' 'NCA'],Suite,1,1,1,8000-11000,12000,"[267975291, 810326228]"
Katherine Powell,F,777723418,2004-07-06,Freshman,School of Arts and Sciences,0,0,['SA' 'NCA' 'MH'],Suite,1,1,1,6000-8000,9000,"[126626104, 396962428]"
Rachel Osborn,F,544942388,2003-04-11,Freshman,School of Communication and Information,0,1,['BS' 'NCA' 'MS'],Apartment,1,1,0,8000-11000,12000,"[381920393, 811562106]"
John Flores,M,499371607,2005-05-25,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'MZH' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,7000,[136510099]
Bob Alexander,M,358373327,2004-08-26,Freshman,School of Communication and Information,0,1,['BS' 'RA' 'NCA'],Suite,1,1,1,8000-11000,12000,[792596939]
Heather Reed,F,767739887,2002-07-10,Freshman,School of Arts and Sciences,0,0,['NCA' 'BS' 'MH'],Apartment,1,1,1,4000-6000,7000,[537940886]
Alexander Solomon,M,275076058,2002-08-09,Freshman,School of Environmental and Biological Sciences,0,1,['TS' 'RA' 'BS'],Apartment,1,1,1,8000-11000,12000,"[938920654, 490699531]"
Brett Cox,M,916142867,2001-11-25,Freshman,Mason Gross School of the Arts,0,0,['SA' 'AH' 'MRS'],Apartment,1,1,1,6000-8000,9000,"[380554710, 826079798]"
Jordan Lee,M,372647181,2001-01-25,Freshman,School of Arts and Sciences,0,1,['NCA' 'RA' 'SA'],Apartment,1,1,1,4000-6000,7000,"[384946879, 501538424]"
Ronald Sanford,M,375538238,2003-11-09,Junior,School of Arts and Sciences,0,1,['RA' 'WS' 'MH'],Traditional Residence Hall,1,1,1,8000-11000,12000,[281393124]
Robert Reese,M,352855090,2004-09-03,Freshman,School of Environmental and Biological Sciences,0,1,['BS' 'TS' 'MH'],Apartment,1,1,1,8000-11000,12000,"[450413563, 370083892]"
Barbara Rice,F,930485618,2001-01-06,Junior,School of Engineering,0,0,['SA' 'CS' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[441323217, 967077089]"
Dr. David Torres,M,585011662,2005-09-04,Freshman,School of Engineering,0,0,['BS' 'NCA' 'WS'],Suite,1,0,1,4000-6000,7000,"[145034071, 524619804]"
James Lowe,M,137859193,2003-06-22,Junior,Mason Gross School of the Arts,0,1,['SA' 'NCA' 'CS'],Suite,1,1,1,4000-6000,7000,[965956890]
Jose Salas,M,514486636,2005-01-06,Senior,Mason Gross School of the Arts,0,0,['BH' 'AH' 'BS'],Apartment,1,1,1,8000-11000,12000,"[198571510, 720935744]"
Jennifer Barnes,F,255929297,2003-09-18,Sophomore,School of Communication and Information,0,1,['BS' 'SA' 'JS'],Apartment,1,1,1,4000-6000,7000,[306925636]
Benjamin Ferguson,M,479591422,2003-02-13,Freshman,School of Arts and Sciences,0,0,['NCA' 'MZH' 'JS'],Suite,1,1,1,4000-6000,7000,"[552442581, 609520356]"
Aaron Shaffer,M,743988610,2002-11-28,Junior,School of Arts and Sciences,0,0,['MZH' 'NCA' 'SA'],Apartment,1,1,1,8000-11000,12000,[956668962]
Mrs. Sabrina Sullivan,F,199040425,2003-10-04,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['MS' 'BS' 'CS'],Apartment,1,1,1,8000-11000,12000,[239978274]
Andrew Morrow,M,314889674,2003-12-19,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'WS' 'NCA'],Apartment,1,1,1,6000-8000,9000,"[428510069, 633280478]"
Julie Potter,F,115535016,2001-08-28,Freshman,School of Arts and Sciences,0,0,['MS' 'BS' 'NCA'],Suite,1,1,1,8000-11000,12000,"[442971761, 299701865]"
Matthew Nguyen,M,883377055,2000-03-13,Junior,School of Engineering,0,1,['TS' 'BS' 'RA'],Traditional Residence Hall,1,1,1,6000-8000,9000,[270440587]
Kara Brown,F,985563551,2000-12-01,Freshman,School of Arts and Sciences,1,0,['SA' 'JS' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,12000,[355989517]
Jason Rodriguez,M,475040092,2004-10-14,Freshman,School of Arts and Sciences,0,0,['SA' 'MRS' 'NCA'],Suite,1,1,1,8000-11000,12000,[369353729]
Matthew Robertson,M,306739463,2002-06-01,Freshman,Mason Gross School of the Arts,0,1,['SA' 'BH' 'BS'],Apartment,1,1,1,6000-8000,9000,"[274717833, 834017372]"
Christopher Vasquez,M,910109837,2004-12-29,Freshman,Mason Gross School of the Arts,0,0,['MS' 'JS' 'BS'],Apartment,1,1,1,8000-11000,12000,[336238775]
Dennis Cox,M,192875589,2005-08-12,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'SA' 'BH'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[728752659, 527420905]"
Chelsea Schaefer,F,556904074,2000-06-06,Sophomore,School of Communication and Information,0,0,['RA' 'JS' 'SA'],Suite,1,1,1,8000-11000,12000,[750575848]
Ariel Mcpherson MD,F,854683484,2005-05-07,Senior,School of Arts and Sciences,0,0,['JS' 'RA' 'SA'],Suite,1,1,1,6000-8000,9000,"[576381163, 434103788]"
Daniel Graham,M,279804429,2002-04-21,Junior,School of Environmental and Biological Sciences,0,1,['WS' 'NCA' 'BS'],Apartment,1,1,1,4000-6000,7000,[650154623]
Charles Fisher,M,186854179,2003-08-15,Senior,School of Engineering,0,0,['AH' 'NCA' 'TS'],Suite,1,1,1,8000-11000,12000,"[784119908, 107557279]"
John Richardson,M,978431579,2002-01-27,Sophomore,School of Engineering,0,1,['SA' 'BS' 'NCA'],Apartment,1,1,1,8000-11000,12000,[459419771]
Jessica Scott,F,388822585,2003-08-28,Sophomore,School of Arts and Sciences,0,0,['BS' 'SA' 'RA'],Apartment,1,1,1,8000-11000,12000,[968293389]
Justin Andrade,M,895785463,2004-04-12,Sophomore,School of Engineering,0,1,['MS' 'MH' 'BS'],Suite,1,1,1,6000-8000,9000,"[226257653, 995984719]"
Gina Leblanc,F,844557962,2003-02-03,Sophomore,School of Arts and Sciences,0,0,['MH' 'AH' 'MZH'],Suite,1,1,1,8000-11000,12000,"[405371101, 978741198]"
Jessica Johnson,F,146033002,2005-02-18,Sophomore,School of Communication and Information,1,1,['JS' 'MH' 'MS'],Apartment,1,1,1,8000-11000,12000,"[229111712, 381718866]"
Angela Walker,F,624484027,2004-03-29,Sophomore,School of Arts and Sciences,0,1,['AH' 'MH' 'BH'],Traditional Residence Hall,1,0,1,4000-6000,7000,"[231099722, 534693745]"
Rhonda Anderson,F,706552165,2002-03-15,Freshman,School of Engineering,0,0,['SA' 'BS' 'NCA'],Suite,1,1,1,4000-6000,7000,"[555295717, 492755964]"
Eric Porter,M,761449818,2001-12-10,Sophomore,School of Arts and Sciences,0,1,['WS' 'NCA' 'SA'],Apartment,1,1,1,8000-11000,12000,"[281935425, 259742799]"
Tara Hughes,F,823831659,2000-11-12,Freshman,Mason Gross School of the Arts,0,0,['RA' 'WS' 'MZH'],Apartment,1,1,1,6000-8000,9000,[381047897]
Austin Benton,M,706954826,2003-11-23,Freshman,School of Social Work,0,0,['BS' 'BH' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[739090770, 129987437]"
Kathleen Morrow,F,175854212,2004-07-12,Freshman,School of Engineering,0,1,['RA' 'AH' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,7000,[814357804]
Lori Weiss,F,185526514,2005-03-06,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BS' 'CS'],Suite,1,1,1,8000-11000,12000,[114016298]
Edward Hunt,M,946537631,2003-10-06,Freshman,School of Communication and Information,0,0,['RA' 'CS' 'WS'],Traditional Residence Hall,1,1,0,6000-8000,9000,"[618656480, 335418755]"
Jonathan Contreras,M,960060395,2003-01-16,Freshman,School of Engineering,0,0,['MH' 'CS' 'NCA'],Suite,1,1,1,4000-6000,7000,"[776130971, 259230121]"
Joseph Woods,M,483255768,2001-04-19,Freshman,School of Communication and Information,0,1,['MH' 'NCA' 'AH'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[962496566, 563252550]"
Meghan Thompson,F,924552238,2005-08-04,Sophomore,School of Communication and Information,0,1,['SA' 'WS' 'RA'],Apartment,1,1,1,8000-11000,12000,[118395035]
Kelly Armstrong,F,429479785,2004-11-29,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['MZH' 'SA' 'RA'],Apartment,1,1,1,8000-11000,12000,[900043843]
Mark Miles,M,878616993,2004-07-22,Junior,School of Arts and Sciences,0,0,['MH' 'TS' 'RA'],Apartment,1,1,1,8000-11000,12000,[392090987]
David Oliver,M,546490770,2004-12-17,Freshman,School of Communication and Information,0,0,['JS' 'NCA' 'MZH'],Apartment,1,1,1,8000-11000,12000,"[314706912, 993684120]"
William Jenkins,M,890791640,2000-01-05,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'MH' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[199279160, 356053200]"
Anna Russo,F,529721937,2005-03-12,Freshman,School of Arts and Sciences,0,0,['TS' 'MRS' 'SA'],Apartment,1,1,1,8000-11000,12000,[709388631]
Katelyn Wilson,F,544947446,2000-05-20,Junior,School of Management and Labor Relations,0,0,['MZH' 'JS' 'BS'],Suite,1,1,1,6000-8000,9000,[489246663]
Kristina Stein,F,921846654,2003-08-23,Freshman,School of Engineering,0,1,['SA' 'NCA' 'BS'],Suite,1,1,1,8000-11000,12000,"[410227529, 720895511]"
Mrs. Melissa Shelton,F,455866131,2000-05-30,Senior,School of Arts and Sciences,0,0,['NCA' 'SA' 'RA'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[676330839, 896335711]"
Anthony Lowe,M,564939716,2005-03-01,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'NCA' 'JS'],Apartment,1,1,1,8000-11000,12000,"[684619584, 711128952]"
Jacqueline Klein DVM,F,478612717,2003-05-31,Senior,School of Arts and Sciences,0,0,['CS' 'WS' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,9000,[303839381]
Sharon Hall,F,342977100,2000-06-30,Sophomore,School of Communication and Information,0,0,['MS' 'BS' 'SA'],Apartment,1,1,1,4000-6000,7000,[387778076]
Kevin Bates,M,653935669,2001-12-22,Freshman,School of Communication and Information,0,0,['MRS' 'BS' 'AH'],Suite,1,1,1,6000-8000,9000,"[375163910, 278462154]"
Patricia Cardenas,F,727401636,2001-03-10,Junior,Edward J. Bloustein School of Planning and Public Policy,1,1,['NCA' 'SA' 'RA'],Apartment,1,1,1,6000-8000,9000,"[280675721, 821736837]"
Jasmine Stewart,F,767810373,2005-03-15,Senior,School of Arts and Sciences,0,0,['RA' 'SA' 'NCA'],Suite,1,1,1,8000-11000,12000,"[534669640, 111623302]"
Catherine Mcdaniel,F,584852846,2002-08-01,Freshman,School of Arts and Sciences,0,0,['MH' 'RA' 'BS'],Apartment,1,0,1,8000-11000,12000,[135879146]
Mariah Lowe,F,959260355,2000-08-06,Freshman,School of Engineering,0,0,['MZH' 'BS' 'MH'],Suite,1,1,1,8000-11000,12000,"[232193330, 931911743]"
Joshua Mclean,M,630383911,2003-11-07,Junior,School of Arts and Sciences,0,0,['BS' 'CS' 'MH'],Apartment,1,1,0,8000-11000,12000,[811869744]
Rachel Figueroa,F,113379093,2002-04-04,Junior,School of Social Work,0,0,['SA' 'MZH' 'RA'],Apartment,1,1,1,8000-11000,12000,"[188908475, 965000307]"
Tony Ponce,M,986632748,2001-03-17,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'CS'],Suite,1,1,0,6000-8000,9000,"[813567521, 378990018]"
April Kemp,F,896856684,2002-08-16,Senior,School of Social Work,0,0,['BS' 'JS' 'RA'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[333580169, 685423346]"
Cody Gregory,M,736182000,2001-05-20,Freshman,School of Arts and Sciences,0,0,['SA' 'WS' 'MRS'],Apartment,1,0,1,6000-8000,9000,"[801104474, 247923338]"
Eddie Smith,M,988955242,1999-10-19,Freshman,School of Arts and Sciences,1,1,['SA' 'BS' 'MS'],Suite,1,1,0,4000-6000,7000,"[390557915, 509388283]"
Mary Hayes,F,508260703,2003-07-28,Freshman,School of Arts and Sciences,0,1,['NCA' 'SA' 'MZH'],Traditional Residence Hall,1,1,1,4000-6000,7000,[986628802]
Donald Valentine,M,356095944,2000-06-16,Sophomore,School of Communication and Information,0,0,['NCA' 'RA' 'BH'],Suite,1,1,1,8000-11000,12000,"[700317976, 271598333]"
Michael Hurley,M,842974174,2001-12-19,Freshman,School of Communication and Information,0,0,['RA' 'CS' 'MRS'],Suite,1,1,1,8000-11000,12000,"[204636246, 576970890]"
Ryan Carter,M,318263051,2000-04-12,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['NCA' 'MS' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[310805840, 245867382]"
Nicole Wright,F,868484212,2003-07-31,Freshman,School of Arts and Sciences,0,0,['AH' 'MZH' 'BS'],Suite,1,1,1,8000-11000,12000,"[996239293, 457585552]"
Robert Simmons,M,488366979,2003-05-15,Freshman,School of Management and Labor Relations,0,1,['RA' 'TS' 'NCA'],Suite,1,1,1,6000-8000,9000,[380363402]
Sylvia Richardson,F,943004878,2004-08-21,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'WS' 'CS'],Apartment,1,1,1,8000-11000,12000,"[193110957, 277691077]"
Heather Cannon,F,533104793,2002-11-09,Senior,Mason Gross School of the Arts,0,0,['NCA' 'SA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[758097918, 767245122]"
